gender,muscle_group,exercise_name,relative_path,size_bytes
girl,Biceps,"Dumbbell One Arm Zottman Preacher Curl","girl/Biceps/Dumbbell One Arm Zottman Preacher Curl.mp4",324515
girl,Biceps,"Dumbbell Preacher Curl Over Exercise Ball","girl/Biceps/Dumbbell Preacher Curl Over Exercise Ball.mp4",449087
girl,Biceps,"Dumbbell Prone Incline Curl","girl/Biceps/Dumbbell Prone Incline Curl.mp4",370135
girl,Biceps,"Dumbbell Seated Preacher Curl","girl/Biceps/Dumbbell Seated Preacher Curl.mp4",284995
girl,Biceps,"EZ Barbell Biceps Curl","girl/Biceps/EZ Barbell Biceps Curl.mp4",382262
girl,Biceps,"Lever Preacher Curl","girl/Biceps/Lever Preacher Curl.mp4",535280
girl,Biceps,"Lying Supine Dumbbell Curl","girl/Biceps/Lying Supine Dumbbell Curl.mp4",462158
girl,Biceps,"Stretching - Butterfly Yoga Pose","girl/Biceps/Stretching - Butterfly Yoga Pose.mp4",777838
girl,Calves,"Band Standing Calf Raise","girl/Calves/Band Standing Calf Raise.mp4",716581
girl,Calves,"Barbell Clean And Press","girl/Calves/Barbell Clean And Press.mp4",750415
girl,Calves,"Donkey Calf Raise","girl/Calves/Donkey Calf Raise.mp4",779844
girl,Calves,"Dumbbell Front Squat","girl/Calves/Dumbbell Front Squat.mp4",738387
girl,Calves,"Dumbbell Seated Calf Raise","girl/Calves/Dumbbell Seated Calf Raise.mp4",687482
girl,Calves,"Dumbbell Single Leg Calf Raise","girl/Calves/Dumbbell Single Leg Calf Raise.mp4",513407
girl,Calves,"Dumbbell Standing Calf Raise","girl/Calves/Dumbbell Standing Calf Raise.mp4",699500
girl,Calves,"Lever Seated Calf Raise","girl/Calves/Lever Seated Calf Raise.mp4",732480
girl,Calves,"Lever Standing Calf Raise","girl/Calves/Lever Standing Calf Raise.mp4",659980
girl,Calves,"Sled 45 Degree Calf Press","girl/Calves/Sled 45 Degree Calf Press.mp4",493989
girl,Calves,"Smith Calf Raise","girl/Calves/Smith Calf Raise.mp4",477098
girl,Calves,"Stretching - Calf Stretch with Rope","girl/Calves/Stretching - Calf Stretch with Rope.mp4",625520
girl,Calves,"Stretching - Calf Stretch with Strap","girl/Calves/Stretching - Calf Stretch with Strap.mp4",434527
girl,Calves,"Stretching - Circles Knee Stretch","girl/Calves/Stretching - Circles Knee Stretch.mp4",471778
girl,Calves,"Stretching - Feet and Ankles Rotation Stretch","girl/Calves/Stretching - Feet and Ankles Rotation Stretch.mp4",280114
girl,Calves,"Stretching - Feet and Ankles Stretch","girl/Calves/Stretching - Feet and Ankles Stretch.mp4",168276
girl,Calves,"Stretching - Peroneals Stretch","girl/Calves/Stretching - Peroneals Stretch.mp4",688382
girl,Calves,"Stretching - Seated Calf Stretch","girl/Calves/Stretching - Seated Calf Stretch.mp4",636392
girl,Calves,"Stretching - Stairs Calf Stretch","girl/Calves/Stretching - Stairs Calf Stretch.mp4",397225
girl,Calves,"Stretching - Standing Bench Calf Stretch","girl/Calves/Stretching - Standing Bench Calf Stretch.mp4",634803
girl,Cardio,"Battling Ropes","girl/Cardio/Battling Ropes.mp4",186186
girl,Cardio,"Burpee","girl/Cardio/Burpee.mp4",803161
girl,Cardio,"Cardio Exercises Machine","girl/Cardio/Cardio Exercises Machine.mp4",794830
girl,Cardio,"Cardio Exercises","girl/Cardio/Cardio Exercises.mp4",1920885
girl,Cardio,"Elliptical","girl/Cardio/Elliptical.mp4",794830
girl,Cardio,"Jump Rope","girl/Cardio/Jump Rope.mp4",557510
girl,Cardio,"Jump Step-up","girl/Cardio/Jump Step-up.mp4",800601
girl,Cardio,"Jumping Jack","girl/Cardio/Jumping Jack.mp4",608200
girl,Cardio,"Running","girl/Cardio/Running.mp4",1920885
girl,Cardio,"Stationary Bike","girl/Cardio/Stationary Bike.mp4",1667626
girl,Cardio,"Stretching - Bridge Pose Setu Bandhasana","girl/Cardio/Stretching - Bridge Pose Setu Bandhasana.mp4",1564660
girl,Cardio,"Stretching - Flexion Leg Sit-up","girl/Cardio/Stretching - Flexion Leg Sit-up.mp4",642594
girl,Cardio,"Stretching - Front Toe Touch","girl/Cardio/Stretching - Front Toe Touch.mp4",700909
girl,Cardio,"Stretching - Plyo Side Lunge Stretch","girl/Cardio/Stretching - Plyo Side Lunge Stretch.mp4",1541282
girl,Cardio,"Stretching - Single Leg Stretch (bent knee)","girl/Cardio/Stretching - Single Leg Stretch (bent knee).mp4",708546
girl,Cardio,"Stretching - Single Straight Leg Stretch","girl/Cardio/Stretching - Single Straight Leg Stretch.mp4",546988
girl,Cardio,"Treadmill Running","girl/Cardio/Treadmill Running.mp4",1421444
girl,Cardio,"Walk Wave Machine","girl/Cardio/Walk Wave Machine.mp4",983199
girl,Chest,"Band High Fly","girl/Chest/Band High Fly.mp4",407045
girl,Chest,"Barbell Bench Press","girl/Chest/Barbell Bench Press.mp4",477526
girl,Chest,"Barbell Decline Bench Press","girl/Chest/Barbell Decline Bench Press.mp4",604126
girl,Chest,"Barbell Incline Bench Press","girl/Chest/Barbell Incline Bench Press.mp4",618305
girl,Chest,"Cable Lying Fly, Flat Bench Cable Fly","girl/Chest/Cable Lying Fly, Flat Bench Cable Fly.mp4",367915
girl,Chest,"Cable Standing Fly, Crossover fly","girl/Chest/Cable Standing Fly, Crossover fly.mp4",526121
girl,Chest,"Chest Dips","girl/Chest/Chest Dips.mp4",536533
girl,Chest,"Deep Push-ups","girl/Chest/Deep Push-ups.mp4",781639
girl,Chest,"Dumbbell Decline Fly (45 degree)","girl/Chest/Dumbbell Decline Fly (45 degree).mp4",727788
girl,Chest,"Dumbbell Fly On Exercise Ball","girl/Chest/Dumbbell Fly On Exercise Ball.mp4",454601
girl,Chest,"Dumbbell Fly","girl/Chest/Dumbbell Fly.mp4",745878
girl,Chest,"Dumbbell Incline Fly On Exercise Ball","girl/Chest/Dumbbell Incline Fly On Exercise Ball.mp4",503278
girl,Chest,"Incline Push-Ups","girl/Chest/Incline Push-Ups.mp4",651849
girl,Chest,"Lever Chest Press","girl/Chest/Lever Chest Press.mp4",542815
girl,Chest,"Lever Incline Hammer Chest Press","girl/Chest/Lever Incline Hammer Chest Press.mp4",584051
girl,Chest,"Lever Lying Chest Press","girl/Chest/Lever Lying Chest Press.mp4",753276
girl,Chest,"Stretching - Back Pec Stretch","girl/Chest/Stretching - Back Pec Stretch.mp4",598968
girl,Chest,"Stretching - Dynamic Chest Stretch","girl/Chest/Stretching - Dynamic Chest Stretch.mp4",285065
girl,Chest,"Stretching - Kneeling Back Rotation Stretch","girl/Chest/Stretching - Kneeling Back Rotation Stretch.mp4",487612
girl,Chest,"Stretching - Standing Reach Up Back Rotation Stretch","girl/Chest/Stretching - Standing Reach Up Back Rotation Stretch.mp4",236785
girl,Chest,"Triceps Dips","girl/Chest/Triceps Dips.mp4",628351
girl,Chest,"Wide Grip Push-ups","girl/Chest/Wide Grip Push-ups.mp4",773755
girl,Forearms,"Barbell Reverse Wrist Curl (over-grip)","girl/Forearms/Barbell Reverse Wrist Curl (over-grip).mp4",337869
girl,Forearms,"Barbell Standing Back Wrist Curl","girl/Forearms/Barbell Standing Back Wrist Curl.mp4",320701
girl,Forearms,"Dumbbell Behind Back Wrist Curl","girl/Forearms/Dumbbell Behind Back Wrist Curl.mp4",111822
girl,Forearms,"Dumbbell Over Bench Wrist Curl","girl/Forearms/Dumbbell Over Bench Wrist Curl.mp4",306358
girl,Forearms,"Dumbbell Seated Neutral Wrist Curl","girl/Forearms/Dumbbell Seated Neutral Wrist Curl.mp4",271695
girl,Forearms,"Stretching - Side Wrist Pull Stretch","girl/Forearms/Stretching - Side Wrist Pull Stretch.mp4",248846
girl,Forearms,"Stretching - Wrist Circles","girl/Forearms/Stretching - Wrist Circles.mp4",133908
girl,Forearms,"Weighted Standing Curl (weights or lever)","girl/Forearms/Weighted Standing Curl (weights or lever).mp4",289829
girl,Hips,"Band Bent Over Hip Extension","girl/Hips/Band Bent Over Hip Extension.mp4",369593
girl,Hips,"Band Hip Abduction","girl/Hips/Band Hip Abduction.mp4",264887
girl,Hips,"Band Hip Adduction","girl/Hips/Band Hip Adduction.mp4",320401
girl,Hips,"Band Leg Curl","girl/Hips/Band Leg Curl.mp4",650011
girl,Hips,"Band Seated Leg Extension","girl/Hips/Band Seated Leg Extension.mp4",310424
girl,Hips,"Band Standing Hip Extension","girl/Hips/Band Standing Hip Extension.mp4",333053
girl,Hips,"Band Standing Leg Curl","girl/Hips/Band Standing Leg Curl.mp4",243487
girl,Hips,"Barbell Clean And Press","girl/Hips/Barbell Clean And Press.mp4",750415
girl,Hips,"Barbell Front Chest Squat","girl/Hips/Barbell Front Chest Squat.mp4",762297
girl,Hips,"Barbell Lunge","girl/Hips/Barbell Lunge.mp4",780653
girl,Hips,"Classic Barbell Squat","girl/Hips/Classic Barbell Squat.mp4",628622
girl,Hips,"Close Feet Leg Press","girl/Hips/Close Feet Leg Press.mp4",685649
girl,Hips,"Dumbbell Bar Grip Sumo Squat","girl/Hips/Dumbbell Bar Grip Sumo Squat.mp4",716529
girl,Hips,"Dumbbell Front Squat","girl/Hips/Dumbbell Front Squat.mp4",738387
girl,Hips,"Dumbbell Goblet Squat","girl/Hips/Dumbbell Goblet Squat.mp4",678896
girl,Hips,"Dumbbell Lunge","girl/Hips/Dumbbell Lunge.mp4",764948
girl,Hips,"Dumbbell Lying Femoral","girl/Hips/Dumbbell Lying Femoral.mp4",586794
girl,Hips,"Dumbbell Single Leg Squat","girl/Hips/Dumbbell Single Leg Squat.mp4",713778
girl,Hips,"Dumbbell Squat","girl/Hips/Dumbbell Squat.mp4",713702
girl,Hips,"Lever Horizontal Leg Press","girl/Hips/Lever Horizontal Leg Press.mp4",1354446
girl,Hips,"Lever Kneeling Leg Curl","girl/Hips/Lever Kneeling Leg Curl.mp4",364574
girl,Hips,"Lever Leg Extension","girl/Hips/Lever Leg Extension.mp4",710851
girl,Hips,"Lever Lying Leg Curl","girl/Hips/Lever Lying Leg Curl.mp4",638049
girl,Hips,"Lever Seated Hip Abduction","girl/Hips/Lever Seated Hip Abduction.mp4",517959
girl,Hips,"Lever Seated Hip Adduction","girl/Hips/Lever Seated Hip Adduction.mp4",509787
girl,Hips,"Lever Seated Leg Curl","girl/Hips/Lever Seated Leg Curl.mp4",678595
girl,Hips,"Lever Standing Hip Extension","girl/Hips/Lever Standing Hip Extension.mp4",396927
girl,Hips,"Lever Standing Rear Kick","girl/Hips/Lever Standing Rear Kick.mp4",283754
girl,Hips,"Rear Decline Bridge","girl/Hips/Rear Decline Bridge.mp4",817987
girl,Hips,"Sled 45 Degree Leg Wide Press","girl/Hips/Sled 45 Degree Leg Wide Press.mp4",728965
girl,Hips,"Sled Hack Squat","girl/Hips/Sled Hack Squat.mp4",769057
girl,Hips,"Smith Chair Squat","girl/Hips/Smith Chair Squat.mp4",677145
